28,31,テラメカニックス : 走行力学 / 室達朗著,"東京 : 技報堂出版 , 1993.2"
28,31,"観光のまなざし / ジョン・アーリ, ヨーナス・ラースン [著] ; 加太宏邦訳","増補改訂版. - 東京 : 法政大学出版局 , 2014.9 (叢書・ウニベルシタス)"
28,31,火花 / 又吉直樹著,"東京 : 文藝春秋 , 2015.3"
29,30,"続日本紀 / [藤原継縄, 菅野真道等奉勅撰] ; 直木孝次郎他訳注","1 - 4. - 東京 : 平凡社 , 1986.6-1992.4 (東洋文庫)"
29,30,分子の対称と群論 / 中崎昌雄著,"東京 : 東京化学同人 , 1973.2"
29,30,エピタキシャル成長のメカニズム / 中嶋一雄責任編集,"東京 : 共立出版 , 2002.5 (シリーズ : 結晶成長のダイナミクス / 西永頌, 宮澤信太郎, 佐藤清隆シリーズ編集委員)"
29,30,よくわかる物理数学の基本と仕組み : 物理、工学のための数学入門 / 潮秀樹著,"東京 : 秀和システム , 2004.2 (How-nual図解入門)"
29,30,TOEICテスト新公式問題集 / Educational Testing Service著 ; 国際ビジネスコミュニケーション協会TOEIC運営委員会編,"[vol. 1] - vol. 6. - [東京] : 国際ビジネスコミュニケーション協会TOEIC運営委員会. - 東京 : 国際コミュニケーションズ・スクール (発売) , 2005.12-"
29,30,"都市のイメージ / ケヴィン・リンチ [著] ; 丹下健三, 富田玲子訳",": 新装版. - 東京 : 岩波書店 , 2007.5"
29,30,レジャーの空間 : 諸相とアプローチ / 神田孝治編著,"京都 : ナカニシヤ出版 , 2009.10"
29,30,消費者行動の知識 / 青木幸弘著,"東京 : 日本経済新聞出版社 , 2010.9 (日経文庫)"
29,30,"経験から学ぶ人的資源管理 / 上林憲雄, 厨子直之, 森田雅也著","東京 : 有斐閣 , 2010.10 (有斐閣ブックス)"
29,30,たのしくできるArduino電子工作 / 牧野浩二著,"東京 : 東京電機大学出版局 , 2012.9"
29,30,もしもネイティブが中学英語を教えたら / デイビッド・セイン著,"東京 : アスコム , 2014.9 (アスコム英語マスターシリーズ)"
29,30,ミクロ経済学の力 : micro economics / 神取道宏著,"東京 : 日本評論社 , 2014.9"
29,30,"TOEICテスト究極のゼミ / 西嶋愉一, ヒロ前田共著","Part2&1 - Part7. - 東京 : アルク , 2012-"
30,29,和歌山県の百年 / 高嶋雅明著,"東京 : 山川出版社 , 1985.5 (県民100年史)"
30,29,"交通と観光の経済学 / S.ぺージ [著] ; 木谷直俊, 図師雅脩, 松下正弘訳","東京 : 日本経済評論社 , 2001.5"
30,29,土質力学入門 / 岩佐義朗 [ほか] 著,"東京 : 実教出版 , 1998.6 (基礎シリーズ)"
30,29,TOEICテスト新公式問題集 / Educational Testing Service著 ; 国際ビジネスコミュニケーション協会TOEIC運営委員会編,"[vol. 1] - vol. 6. - [東京] : 国際ビジネスコミュニケーション協会TOEIC運営委員会. - 東京 : 国際コミュニケーションズ・スクール (発売) , 2005.12-"
30,29,旅行取引論 / 廣岡裕一著,"京都 : 晃洋書房 , 2007.6"
30,29,"1からのマーケティング = The 1st step of marketing / 石井淳蔵, 廣田章光編著","第3版. - 津 : 碩学舎. - 東京 : 中央経済社 (発売) , 2009.3"
30,29,暗号技術入門 : 秘密の国のアリス / 結城浩著,"新版. - 東京 : ソフトバンククリエイティブ , 2008.12"
30,29,確率論 / 熊谷隆著,"東京 : 共立出版 , 2003.3 (新しい解析学の流れ)"
30,29,"回折と結像の光学 / 渋谷眞人, 大木裕史著","東京 : 朝倉書店 , 2005.11 (光学ライブラリー)"
30,29,空飛ぶタイヤ / 池井戸潤 [著],"上,下. - 東京 : 講談社 , 2009.9 (講談社文庫)"
30,29,スバラシク実力がつくと評判の複素関数キャンパス・ゼミ : 大学の数学がこんなに分かる!単位なんて楽に取れる! / 馬場敬之著,"改訂1. - 川口 : マセマ出版社 , [2013.6]"
30,29,"里山資本主義 : 日本経済は「安心の原理」で動く / 藻谷浩介, NHK広島取材班 [著]","東京 : 角川書店. - 東京 : Kadokawa (発売) , 2013.7 (角川oneテーマ21)"
30,29,オフロードタイヤ工学 : 設計と性能予測の基礎 / タイヤ設計指針作成委員会編,"松山 : テラメカニックス研究会 , 1999.2 (テラメカニックスライブラリー)"
30,29,"密度汎関数理論入門 : 理論とその応用 / D. S. ショール, J. A. ステッケル共著 ; 佐々木泰造, 末原茂共訳","京都 : 吉岡書店 , 2014.11"
31,28,ノルウェイの森 / 村上春樹著,"上,下. - 東京 : 講談社 , 1987.9"
31,28,超解像の光学 / 河田聡編,"東京 : 学会出版センター , 1999.3 (日本分光学会測定法シリーズ)"
31,28,"物理化学 : 分子論的アプローチ / D.A. McQuarrie, J.D. Simon [著] ; 千原秀昭, 江口太郎, 齋藤一弥訳","上,下. - 東京 : 東京化学同人 , 1999.12-2000.2"
31,28,コンパクトシティ : 持続可能な社会の都市像を求めて / 海道清信著,"京都 : 学芸出版社 , 2001.8"
31,28,"障害児教育の歴史 / 中村満紀男, 荒川智編著","東京 : 明石書店 , 2003.10"
31,28,"観光社会学 : ツーリズム研究の冒険的試み / 須藤廣, 遠藤英樹著","東京 : 明石書店 , 2005.4"
31,28,分析化学 / Gary D. Christian[著] ; 赤木右[ほか]共訳,"1 基礎編,2 機器分析編. - 東京 : 丸善 , 2005.3"
31,28,西の魔女が死んだ / 梨木香歩著,"東京 : 新潮社 , 2001.8 (新潮文庫)"
31,28,フェルマーの最終定理 / 結城浩著,"東京 : ソフトバンククリエイティブ , 2008.8 (数学ガール / 結城浩 [著])"
31,28,"健康・スポーツ科学のためのExcelによる統計解析入門 / 佐藤進, 山次俊介, 長澤吉則編著","東京 : 杏林書院 , 2009.6"
31,28,大学生のためのレポート・論文術 / 小笠原喜康著,"新版. - 東京 : 講談社 , 2009.11 (講談社現代新書)"
31,28,太陽電池の基礎と応用 : シリコンから有機・量子ナノまで / 山口真史 [ほか] 著,"東京 : 丸善 , 2010.7"
31,28,私的空間と公共性 : 「資本論」から現代をみる / 山田良治著,"東京 : 日本経済評論社 , 2010.7"
31,28,悪の教典 / 貴志祐介著,"上,下. - 東京 : 文藝春秋 , 2012.8 (文春文庫)"
31,28,"入門MTシステム / 立林和夫編著 ; 手島昌一, 長谷川良子著","東京 : 日科技連出版社 , 2008.12"
31,28,よくわかるHTML5+CSS3の教科書 / 大藤幹著,"東京 : マイナビ , 2012.7"
31,28,"アイスクリームで味わう、""関係""の統計学 / 向後千春, 冨永敦子著","東京 : 技術評論社 , 2009.1 (ファーストブック)"
31,28,"憲法判例百選 / 長谷部恭男, 石川健治, 宍戸常寿編","1,2. - 第6版. - 東京 : 有斐閣 , 2013.11- (別冊ジュリスト)"
31,28,つながりを煽られる子どもたち : ネット依存といじめ問題を考える / 土井隆義著,"東京 : 岩波書店 , 2014.6 (岩波ブックレット)"
31,28,"TOEICテスト究極のゼミ / 西嶋愉一, ヒロ前田共著","Part2&1 - Part7. - 東京 : アルク , 2012-"
31,28,何者 / 朝井リョウ著,"東京 : 新潮社 , 2015.7 (新潮文庫)"
32,27,"線形代数の基礎 / 寺田文行, 木村宣昭共著","東京 : サイエンス社 , 1997.7 (ライブラリ理工基礎数学)"
32,27,光・電磁波工学 / 西原浩編著,"東京 : オーム社 , 2000.8 (新世代工学シリーズ)"
32,27,楽典 : 理論と実習 / 石桁真礼生 [ほか] 共著,": 新装版. - 新版. - 東京 : 音楽之友社 , 2001.11"
